date,player,offerName,over_under,line,americanOdds,sportsbook,game_time
2025-08-19,Sabrina Ionescu,Assists,Under,4.5,-154,BetOnline,2025-08-19T23:00:00
2025-08-19,Sug Sutton,Assists,Over,3.5,-192,BetOnline,2025-08-19T23:30:00
2025-08-19,Sug Sutton,Assists,Under,3.5,146,BetOnline,2025-08-19T23:30:00
2025-08-19,Sonia Citron,Assists,Over,3.5,128,BetOnline,2025-08-19T23:30:00
2025-08-19,Sonia Citron,Assists,Under,3.5,-167,BetOnline,2025-08-19T23:30:00
2025-08-19,Marina Mabrey,Assists,Over,4.5,139,BetOnline,2025-08-19T23:30:00
2025-08-19,Marina Mabrey,Assists,Under,4.5,-182,BetOnline,2025-08-19T23:30:00
2025-08-20,Ariel Atkins,Assists,Over,3.5,141,BetOnline,2025-08-20T00:00:00
2025-08-20,Ariel Atkins,Assists,Under,3.5,-185,BetOnline,2025-08-20T00:00:00
2025-08-20,Skylar Diggins-Smith,Assists,Over,5.5,-110,BetOnline,2025-08-20T00:00:00
2025-08-20,Skylar Diggins-Smith,Assists,Under,5.5,-118,BetOnline,2025-08-20T00:00:00
2025-08-20,Gabby Williams,Assists,Over,4.5,128,BetOnline,2025-08-20T00:00:00
2025-08-20,Gabby Williams,Assists,Under,4.5,-167,BetOnline,2025-08-20T00:00:00
2025-08-20,Alyssa Thomas,Assists,Over,8.5,-147,BetOnline,2025-08-20T02:00:00
2025-08-20,Alyssa Thomas,Assists,Under,8.5,113,BetOnline,2025-08-20T02:00:00
2025-08-20,Allisha Gray,Assists,Over,3.5,-120,BetOnline,2025-08-20T02:00:00
2025-08-20,Allisha Gray,Assists,Under,3.5,-108,BetOnline,2025-08-20T02:00:00
2025-08-20,A'ja Wilson,Assists,Over,3.5,141,BetOnline,2025-08-20T02:00:00
2025-08-20,A'ja Wilson,Assists,Under,3.5,-185,BetOnline,2025-08-20T02:00:00
2025-08-20,Tiffany Hayes,Assists,Over,3.5,139,BetOnline,2025-08-20T02:00:00
2025-08-20,Tiffany Hayes,Assists,Under,3.5,-182,BetOnline,2025-08-20T02:00:00
2025-08-20,Jackie Young,Assists,Over,5.5,128,BetOnline,2025-08-20T02:00:00
2025-08-20,Jackie Young,Assists,Under,5.5,-167,BetOnline,2025-08-20T02:00:00
2025-08-20,Rhyne Howard,Assists,Over,4.5,-110,BetOnline,2025-08-20T02:00:00
2025-08-20,Rhyne Howard,Assists,Under,4.5,-118,BetOnline,2025-08-20T02:00:00
2025-08-21,Julie Allemand,Assists,Over,6.5,126,BetOnline,2025-08-21T02:00:00
2025-08-21,Julie Allemand,Assists,Under,6.5,-164,BetOnline,2025-08-21T02:00:00
2025-08-21,Kelsey Plum,Assists,Over,5.5,-123,BetOnline,2025-08-21T02:00:00
2025-08-21,Kelsey Plum,Assists,Under,5.5,-105,BetOnline,2025-08-21T02:00:00
2025-08-21,Paige Bueckers,Assists,Over,5.5,118,BetOnline,2025-08-21T02:00:00
2025-08-21,Paige Bueckers,Assists,Under,5.5,-154,BetOnline,2025-08-21T02:00:00
2025-08-21,Dearica Hamby,Assists,Over,3.5,118,BetOnline,2025-08-21T02:00:00
2025-08-21,Dearica Hamby,Assists,Under,3.5,-154,BetOnline,2025-08-21T02:00:00
2025-08-19,Jonquel Jones,Points + Rebounds + Assists,Over,25.5,-128,BetOnline,2025-08-19T23:00:00
2025-08-19,Jonquel Jones,Points + Rebounds + Assists,Under,25.5,-101,BetOnline,2025-08-19T23:00:00
2025-08-19,Sabrina Ionescu,Points + Rebounds + Assists,Over,28.5,-108,BetOnline,2025-08-19T23:00:00
2025-08-19,Sabrina Ionescu,Points + Rebounds + Assists,Under,28.5,-120,BetOnline,2025-08-19T23:00:00
2025-08-19,Courtney Williams,Points + Rebounds + Assists,Over,25.5,-143,BetOnline,2025-08-19T23:00:00
2025-08-19,Courtney Williams,Points + Rebounds + Assists,Under,25.5,110,BetOnline,2025-08-19T23:00:00
2025-08-19,Alanna Smith,Points + Rebounds + Assists,Over,20.5,-125,BetOnline,2025-08-19T23:00:00
2025-08-19,Alanna Smith,Points + Rebounds + Assists,Under,20.5,-103,BetOnline,2025-08-19T23:00:00
2025-08-19,Natasha Cloud,Points + Rebounds + Assists,Over,17.5,-130,BetOnline,2025-08-19T23:00:00
2025-08-19,Natasha Cloud,Points + Rebounds + Assists,Under,17.5,100,BetOnline,2025-08-19T23:00:00
2025-08-19,Sonia Citron,Points + Rebounds + Assists,Over,23.5,-108,BetOnline,2025-08-19T23:30:00
2025-08-19,Sonia Citron,Points + Rebounds + Assists,Under,23.5,-120,BetOnline,2025-08-19T23:30:00
2025-08-19,Marina Mabrey,Points + Rebounds + Assists,Over,23.5,-112,BetOnline,2025-08-19T23:30:00
2025-08-19,Marina Mabrey,Points + Rebounds + Assists,Under,23.5,-115,BetOnline,2025-08-19T23:30:00
